player,elo
Tony Martinez,1772.9949879889066
Kim Viljanen,1772.2678807688662
Ron Meulenkamp,1772.064386337349
Carl Wilkinson,1770.258476253611
Paul Milford,1770.241475930011
Dan Read,1770.1628645736225
Rohan Brouwers,1769.865099241065
Michael Flynn,1769.8258901683234
Dylan Quinn,1769.1139927664626
Jo Locke,1768.8429641028451
Warrick Scheffer,1768.7074676410027
Peter Burgoyne,1768.4546587063232
Davy van Baelen,1768.197123588435
Garrett Gray,1767.6189028209174
Berry van Peer,1767.27207992403
Steven Noster,1766.665559565751
Moreno Blom,1766.5015142764953
Peter Jacques,1766.0349752975521
Darren Herewini,1765.3612806002266
Jani Haavisto,1764.9546127905953
Jamie Lewis,1764.578519554999
Daniel Astbury,1764.4189260671676
Barry Copeland,1763.9876746799546
Scott MacKenzie,1763.0738315053065
Jeremy van der Winkel,1763.0233391466488
Jim McEwan,1762.8031537396423
Denise Cassidy,1762.53157096789
Barry Lynn,1761.7589902350844
Jarod Becker,1761.6186117100426
Oliver Mitchell,1761.011239511447
Man Lok Leung,1760.4796831855904
Yorick Hofkens,1760.1763826607075
Chris Wickenden,1760.086145427539
Steve Farmer,1760.0142159108905
Trevor Burkhill,1759.4895407948497
Thomas Junghans,1759.0577169474245
Aden Kirk,1758.380733292649
Keegan Brown,1757.4236434408176
Ieuan Halsall,1757.250510401425
Richie Corner,1757.0659686196136
Robert Marijanovic,1757.016097031091
David Concanon,1756.6880145436853
Dylan Dowling,1756.3746272429582
Maikel Verberk,1756.2104126126992
Andrew Davidson,1755.870634002146
Dennis Harbour,1755.5823021549038
Henry Coates,1755.574117029622
Paul Krohne,1755.2395599336708
Priscilla Steenbergen,1754.3459075779276
Steve West,1754.1094887683685
Lewis Pride,1754.0018452954073
Jacob Taylor,1753.610416509557
Paul Lim,1753.1011796770774
Jarno Bottenberg,1752.715150774121
Tony Ayres,1752.4360970531445
Liam Goyne,1752.101900549047
Sean Reed,1751.4091644244604
Eve Watson,1750.811540391325
Andy Smith,1750.706486691792
Jack Drayton,1750.05338280447
Franz Roetzsch,1749.7052471130826
Christopher Gilliland,1748.8982991861953
George Killington,1748.8178197918592
Phil Nixon,1748.7043070754607
Angelo Balsamo,1748.2373387456942
Chris Quantock,1748.0169223764287
Matthew Edgar,1747.1298599148377
Jamie Clark,1746.4462822151277
David Cameron,1746.39686179259
Paul Hogan,1746.3038687205321
James Richardson,1745.7719601068866
