player,rating,games_played,win_prob_vs_avg,elo_equivalent
Mario Vandenbogaerde,2.504687997715557,441,0.9244698132671265,1935.1088705188683
Jurjen van der Velde,2.4422856811832827,749,0.9199954842155514,1924.2684778276896
Mickey Mansell,2.429266354151782,978,0.9190319573492998,1922.0067890725397
Michael Unterbuchner,2.4065556286348806,296,0.9173258388956236,1918.061531963736
Darren Beveridge,2.3871479318375934,303,0.9158420042833016,1914.6900697135306
Rhian O'Sullivan,2.3762567167764583,492,0.9149987484356616,1912.7980718726217
Adrian Lewis,2.3592731436108094,2297,0.9136684894851902,1909.847723029085
Callan Rydz,2.358907357402896,807,0.913639632495237,1909.7841794564238
Alexander Merkx,2.357639113712769,375,0.9135395126999106,1909.5638629618916
Martin Lukeman,2.3517976101168334,596,0.9130770051602587,1908.5490898507983
Alan Soutar,2.3378943416993967,463,0.9119671830995769,1906.1338447491535
Aileen de Graaf,2.3355004034656894,784,0.9117748008203438,1905.717975083187
Keane Barry,2.3269431984876996,790,0.9110840164401991,1904.2314363222044
James Hurrell,2.3264015558675055,453,0.9110401282375773,1904.137343361759
Michael Smith,2.3008834591056275,2127,0.908950180260428,1899.704395916816
Jamai van den Herik,2.287080719579043,469,0.9078014027983128,1897.3066144721988
Charlie Manby,2.271448401247064,383,0.9064846413872045,1894.5910026358254
Mensur Suljovic,2.268716926681831,1329,0.9062528364133089,1894.1164969033694
Mikuru Suzuki,2.26631345648566,377,0.9060484413949195,1893.6989713659232
Dave Chisnall,2.2566204726437245,2077,0.9052200755957593,1892.015127607631
Noa-Lynn van Leuven,2.256163883607235,410,0.905180894519021,1891.935809968013
Jeffrey de Graaf,2.250490332483966,560,0.9046928217819635,1890.9502131897602
Madars Razma,2.2476549117625466,868,0.904448060566353,1890.4576501604856
Raymond van Barneveld,2.247102654610017,2164,0.9044003228663297,1890.3617132669115
Dominik Grüllich,2.243278901343053,348,0.9040692081018986,1889.697459289311
Richard Veenstra,2.2204066967355742,535,0.9020671299902642,1885.7241503893147
Sebastian Białecki,2.2195297195198,805,0.901989628726648,1885.5718038430884
